,0,1,2,3,4,5,6,7,8,9
5450,Casablanca (1942),Double Indemnity (1944),"Godfather, The (1972)",Blade Runner (1982),One Flew Over the Cuckoo's Nest (1975),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),American Beauty (1999),Chinatown (1974),Being John Malkovich (1999),"Maltese Falcon, The (1941)"
5451,Citizen Kane (1941),"Godfather, The (1972)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),Fargo (1996),American Beauty (1999),"Shawshank Redemption, The (1994)",Blade Runner (1982),Being John Malkovich (1999)
5452,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)",Raiders of the Lost Ark (1981),"Godfather, The (1972)",Braveheart (1995),"Matrix, The (1999)"
5453,Lawrence of Arabia (1962),Schindler's List (1993),"Third Man, The (1949)",Blade Runner (1982),"Wrong Trousers, The (1993)",One Flew Over the Cuckoo's Nest (1975),Fargo (1996),American Beauty (1999),To Kill a Mockingbird (1962),Midnight Cowboy (1969)
5454,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)","Matrix, The (1999)",Braveheart (1995),"Green Mile, The (1999)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Glory (1989),"Fugitive, The (1993)"
5455,Casablanca (1942),"Christmas Story, A (1983)",M*A*S*H (1970),Butch Cassidy and the Sundance Kid (1969),"Sting, The (1973)","Producers, The (1968)",This Is Spinal Tap (1984),Annie Hall (1977),Raising Arizona (1987),Strictly Ballroom (1992)
5456,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Close Shave, A (1995)","Wrong Trousers, The (1993)",Blade Runner (1982),Fargo (1996),Being John Malkovich (1999),"Usual Suspects, The (1995)",L.A. Confidential (1997),Brazil (1985)
5457,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Citizen Kane (1941),"Bicycle Thief, The (Ladri di biciclette) (1948)",Rear Window (1954),Lawrence of Arabia (1962),"Third Man, The (1949)","Close Shave, A (1995)",Chinatown (1974),"Wrong Trousers, The (1993)"
5458,"Sixth Sense, The (1999)","Princess Bride, The (1987)","Shining, The (1980)",Billy Madison (1995),Gladiator (2000),Star Wars: Episode V - The Empire Strikes Back (1980),Patch Adams (1998),Office Space (1999),Pretty Woman (1990),Forrest Gump (1994)
5459,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Lawrence of Arabia (1962),Casablanca (1942),"Godfather, The (1972)",Citizen Kane (1941),Schindler's List (1993),Blade Runner (1982),Chinatown (1974),Fargo (1996)
5460,"Close Shave, A (1995)","Wrong Trousers, The (1993)",American Beauty (1999),"Grand Day Out, A (1992)","General, The (1927)",Being John Malkovich (1999),Butch Cassidy and the Sundance Kid (1969),Raiders of the Lost Ark (1981),"Sting, The (1973)",Roman Holiday (1953)
5461,Gladiator (2000),Mission: Impossible 2 (2000),American Pie (1999),"Bug's Life, A (1998)",Clerks (1994),Keeping the Faith (2000),High Fidelity (2000),U-571 (2000),"General's Daughter, The (1999)",Double Jeopardy (1999)
5462,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Bicycle Thief, The (Ladri di biciclette) (1948)",City Lights (1931),Lawrence of Arabia (1962),Casablanca (1942),Double Indemnity (1944),Citizen Kane (1941),"Third Man, The (1949)","Streetcar Named Desire, A (1951)"
5463,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),Double Indemnity (1944),Rear Window (1954),"Godfather, The (1972)",Schindler's List (1993),Paths of Glory (1957),"Third Man, The (1949)",Blade Runner (1982),"Wrong Trousers, The (1993)"
5464,American Beauty (1999),Being John Malkovich (1999),Taxi Driver (1976),Election (1999),Butch Cassidy and the Sundance Kid (1969),Elizabeth (1998),Shakespeare in Love (1998),"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",Clerks (1994),Eyes Wide Shut (1999)
5465,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Lawrence of Arabia (1962),Casablanca (1942),Double Indemnity (1944),Schindler's List (1993),Citizen Kane (1941),"Close Shave, A (1995)",Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),"Wrong Trousers, The (1993)",Blade Runner (1982)
5466,"Thin Man, The (1934)",Butch Cassidy and the Sundance Kid (1969),L.A. Confidential (1997),Little Big Man (1970),High Noon (1952),Dances with Wolves (1990),"Outlaw Josey Wales, The (1976)",Jeremiah Johnson (1972),Tender Mercies (1983),Hud (1963)
5467,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Citizen Kane (1941),"Godfather, The (1972)",Rear Window (1954),"Third Man, The (1949)",Chinatown (1974),"Close Shave, A (1995)","Wrong Trousers, The (1993)",One Flew Over the Cuckoo's Nest (1975)
5468,Schindler's List (1993),Rear Window (1954),Blade Runner (1982),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Saving Private Ryan (1998),Casablanca (1942),"Silence of the Lambs, The (1991)","Killing Fields, The (1984)",Doctor Zhivago (1965),To Catch a Thief (1955)
5469,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",City Lights (1931),"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Chinatown (1974),Paths of Glory (1957),Schindler's List (1993),One Flew Over the Cuckoo's Nest (1975),Fargo (1996)
5470,Braveheart (1995),"Usual Suspects, The (1995)",Seven (Se7en) (1995),Fight Club (1999),Star Wars: Episode VI - Return of the Jedi (1983),"Hustler, The (1961)",Pulp Fiction (1994),"Lock, Stock & Two Smoking Barrels (1998)",Fargo (1996),Sneakers (1992)
5471,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Godfather, The (1972)","Great Escape, The (1963)",Braveheart (1995),"Matrix, The (1999)","Close Shave, A (1995)",Rear Window (1954),"Princess Bride, The (1987)"
5472,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),Raiders of the Lost Ark (1981),"Matrix, The (1999)",Rear Window (1954),Star Wars: Episode IV - A New Hope (1977),"Green Mile, The (1999)"
5473,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Blade Runner (1982),American Beauty (1999),Being John Malkovich (1999),Apocalypse Now (1979),Shall We Dance? (Shall We Dansu?) (1996),Brazil (1985),Alien (1979),Star Wars: Episode IV - A New Hope (1977),Election (1999)
5474,"Apple, The (Sib) (1998)","Godfather, The (1972)",Rear Window (1954),Schindler's List (1993),"Streetcar Named Desire, A (1951)",One Flew Over the Cuckoo's Nest (1975),"Shawshank Redemption, The (1994)",American Beauty (1999),Chinatown (1974),Fargo (1996)
5475,Casablanca (1942),Double Indemnity (1944),Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Chinatown (1974),Schindler's List (1993),Blade Runner (1982),Being John Malkovich (1999),"Maltese Falcon, The (1941)","Manchurian Candidate, The (1962)",Seven Days in May (1964)
5476,Braveheart (1995),Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Star Wars: Episode V - The Empire Strikes Back (1980),One Flew Over the Cuckoo's Nest (1975),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Star Wars: Episode VI - Return of the Jedi (1983),Alien (1979),E.T. the Extra-Terrestrial (1982),Return to Me (2000)
5477,Schindler's List (1993),Apollo 13 (1995),Sleepless in Seattle (1993),Contact (1997),Dead Poets Society (1989),Star Wars: Episode IV - A New Hope (1977),"Hunt for Red October, The (1990)",Shakespeare in Love (1998),Pretty Woman (1990),Dances with Wolves (1990)
5478,"Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),Cinema Paradiso (1988),"Princess Bride, The (1987)",American Beauty (1999),L.A. Confidential (1997),Toy Story 2 (1999),Toy Story (1995),Star Wars: Episode V - The Empire Strikes Back (1980),Aliens (1986)
5479,"Princess Bride, The (1987)",Casablanca (1942),American Beauty (1999),"Wizard of Oz, The (1939)",Forrest Gump (1994),My Fair Lady (1964),Some Like It Hot (1959),Ferris Bueller's Day Off (1986),Singin' in the Rain (1952),Shakespeare in Love (1998)
5480,"Sixth Sense, The (1999)","Green Mile, The (1999)",Gladiator (2000),American Beauty (1999),Independence Day (ID4) (1996),Fight Club (1999),"Birds, The (1963)",Shanghai Noon (2000),Patch Adams (1998),"Whole Nine Yards, The (2000)"
5481,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Sixth Sense, The (1999)","Silence of the Lambs, The (1991)",Braveheart (1995),"Great Escape, The (1963)",Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977)
5482,"Shawshank Redemption, The (1994)",Schindler's List (1993),Lawrence of Arabia (1962),Enchanted April (1991),Rosencrantz and Guildenstern Are Dead (1990),October Sky (1999),"Silence of the Lambs, The (1991)",Much Ado About Nothing (1993),Apollo 13 (1995),"Last Emperor, The (1987)"
5483,Schindler's List (1993),"Sixth Sense, The (1999)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Great Escape, The (1963)",Braveheart (1995),"Matrix, The (1999)",Lawrence of Arabia (1962),Star Wars: Episode IV - A New Hope (1977),"Usual Suspects, The (1995)"
5484,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Shawshank Redemption, The (1994)","Godfather, The (1972)",Rear Window (1954),"Close Shave, A (1995)",Casablanca (1942),"Wrong Trousers, The (1993)","Third Man, The (1949)",Blade Runner (1982),Saving Private Ryan (1998)
5485,Lawrence of Arabia (1962),Double Indemnity (1944),"Godfather, The (1972)",Some Like It Hot (1959),M (1931),"Usual Suspects, The (1995)",L.A. Confidential (1997),On the Waterfront (1954),GoodFellas (1990),Pulp Fiction (1994)
5486,Saving Private Ryan (1998),"Sixth Sense, The (1999)",Raiders of the Lost Ark (1981),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Gladiator (2000),Star Wars: Episode V - The Empire Strikes Back (1980),American Beauty (1999),E.T. the Extra-Terrestrial (1982),Terminator 2: Judgment Day (1991)
5487,"Godfather, The (1972)",Schindler's List (1993),American Beauty (1999),Blade Runner (1982),Fargo (1996),"Silence of the Lambs, The (1991)",Being John Malkovich (1999),Fight Club (1999),"Usual Suspects, The (1995)",Monty Python and the Holy Grail (1974)
5488,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Matrix, The (1999)",Braveheart (1995),Philadelphia (1993),Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Usual Suspects, The (1995)"
5489,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)",Raiders of the Lost Ark (1981),"Godfather, The (1972)","Matrix, The (1999)",Star Wars: Episode V - The Empire Strikes Back (1980)
5490,"Shawshank Redemption, The (1994)","Godfather, The (1972)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",Blade Runner (1982),American Beauty (1999),"Christmas Story, A (1983)","Usual Suspects, The (1995)",Raiders of the Lost Ark (1981),"Princess Bride, The (1987)"
5491,Saving Private Ryan (1998),"Silence of the Lambs, The (1991)","Sixth Sense, The (1999)","Matrix, The (1999)","Princess Bride, The (1987)",It's a Wonderful Life (1946),American Beauty (1999),"Fugitive, The (1993)",Die Hard (1988),Apollo 13 (1995)
5492,"Godfather, The (1972)",Citizen Kane (1941),Casablanca (1942),Schindler's List (1993),Chinatown (1974),One Flew Over the Cuckoo's Nest (1975),"Shawshank Redemption, The (1994)",American Beauty (1999),Fargo (1996),Blade Runner (1982)
5493,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Rear Window (1954),Lawrence of Arabia (1962),Some Like It Hot (1959),"Philadelphia Story, The (1940)",Three Colors: Red (1994),Strangers on a Train (1951),Singin' in the Rain (1952),"Godfather, The (1972)",One Flew Over the Cuckoo's Nest (1975)
5494,"Shawshank Redemption, The (1994)",American Beauty (1999),Being John Malkovich (1999),Fight Club (1999),Boys Don't Cry (1999),Saving Private Ryan (1998),Run Lola Run (Lola rennt) (1998),My Left Foot (1989),"Sixth Sense, The (1999)",American Movie (1999)
5495,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Star Wars: Episode IV - A New Hope (1977),"Usual Suspects, The (1995)","Sixth Sense, The (1999)","Matrix, The (1999)",L.A. Confidential (1997)
5496,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Saving Private Ryan (1998),"Matrix, The (1999)",Raiders of the Lost Ark (1981),"Fugitive, The (1993)",Star Wars: Episode IV - A New Hope (1977),"Princess Bride, The (1987)","Sting, The (1973)",Die Hard (1988),"Hunt for Red October, The (1990)"
5497,Schindler's List (1993),Casablanca (1942),Anne Frank Remembered (1995),Fargo (1996),Serpico (1973),Like Water for Chocolate (Como agua para chocolate) (1992),Shakespeare in Love (1998),Life Is Beautiful (La Vita è bella) (1997),Annie Hall (1977),Hoop Dreams (1994)
5498,Saving Private Ryan (1998),"Matrix, The (1999)",Braveheart (1995),Apollo 13 (1995),Philadelphia (1993),"Usual Suspects, The (1995)","Postino, Il (The Postman) (1994)","Fugitive, The (1993)",Good Will Hunting (1997),Fried Green Tomatoes (1991)
5499,One Flew Over the Cuckoo's Nest (1975),Fargo (1996),American Beauty (1999),Being John Malkovich (1999),Three Colors: Red (1994),"Celebration, The (Festen) (1998)",My Life as a Dog (Mitt liv som hund) (1985),It's a Wonderful Life (1946),Cinema Paradiso (1988),Amadeus (1984)
5500,Schindler's List (1993),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),Rear Window (1954),Blade Runner (1982),"Third Man, The (1949)",American Beauty (1999),Being John Malkovich (1999),Chinatown (1974),"Bridge on the River Kwai, The (1957)"
5501,Schindler's List (1993),Casablanca (1942),"Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Fargo (1996),To Kill a Mockingbird (1962),"Silence of the Lambs, The (1991)",Cool Hand Luke (1967),Citizen Kane (1941)
5502,"Shawshank Redemption, The (1994)","Silence of the Lambs, The (1991)",Raiders of the Lost Ark (1981),American Beauty (1999),Shakespeare in Love (1998),Good Will Hunting (1997),Sense and Sensibility (1995),Fargo (1996),Nikita (La Femme Nikita) (1990),When Harry Met Sally... (1989)
5503,Schindler's List (1993),Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Saving Private Ryan (1998),"Sixth Sense, The (1999)",Braveheart (1995),"Great Escape, The (1963)",Raiders of the Lost Ark (1981),"Matrix, The (1999)",Star Wars: Episode IV - A New Hope (1977),Glory (1989)
5504,Saving Private Ryan (1998),Double Indemnity (1944),Blade Runner (1982),"Big Sleep, The (1946)","Maltese Falcon, The (1941)",Star Wars: Episode IV - A New Hope (1977),Chinatown (1974),Raiders of the Lost Ark (1981),"Matrix, The (1999)",L.A. Confidential (1997)
5505,"Sixth Sense, The (1999)",Star Wars: Episode IV - A New Hope (1977),American Beauty (1999),Gladiator (2000),Fight Club (1999),Star Wars: Episode VI - Return of the Jedi (1983),Erin Brockovich (2000),Rain Man (1988),E.T. the Extra-Terrestrial (1982),Return to Me (2000)
5506,To Kill a Mockingbird (1962),American Beauty (1999),Elizabeth (1998),"Bug's Life, A (1998)",American Pie (1999),Clerks (1994),Like Water for Chocolate (Como agua para chocolate) (1992),"Graduate, The (1967)",Arlington Road (1999),Being John Malkovich (1999)
5507,"Sixth Sense, The (1999)",Star Wars: Episode IV - A New Hope (1977),American Beauty (1999),Toy Story 2 (1999),Run Lola Run (Lola rennt) (1998),Erin Brockovich (2000),Shakespeare in Love (1998),E.T. the Extra-Terrestrial (1982),"Bug's Life, A (1998)",Office Space (1999)
5508,Casablanca (1942),"Seventh Seal, The (Sjunde inseglet, Det) (1957)","Streetcar Named Desire, A (1951)",One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Three Colors: Red (1994),Taxi Driver (1976),My Life as a Dog (Mitt liv som hund) (1985),"400 Blows, The (Les Quatre cents coups) (1959)",This Is Spinal Tap (1984)
5509,Schindler's List (1993),Saving Private Ryan (1998),Braveheart (1995),"Great Escape, The (1963)",Star Wars: Episode IV - A New Hope (1977),Glory (1989),"Princess Bride, The (1987)","Godfather, The (1972)",Patton (1970),Forrest Gump (1994)
5510,"Shawshank Redemption, The (1994)",Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Schindler's List (1993),"Sixth Sense, The (1999)",Kagemusha (1980),Roman Holiday (1953),"Thin Man, The (1934)","Women, The (1939)","Silence of the Lambs, The (1991)",Dersu Uzala (1974)
5511,Saving Private Ryan (1998),Braveheart (1995),"Fugitive, The (1993)",Raiders of the Lost Ark (1981),"Princess Bride, The (1987)",Star Wars: Episode IV - A New Hope (1977),Toy Story 2 (1999),"Hunt for Red October, The (1990)",Young Frankenstein (1974),And Now for Something Completely Different (1971)
5512,Casablanca (1942),"Wizard of Oz, The (1939)",One Flew Over the Cuckoo's Nest (1975),To Kill a Mockingbird (1962),Citizen Kane (1941),Midnight Cowboy (1969),Cinema Paradiso (1988),Manon of the Spring (Manon des sources) (1986),My Left Foot (1989),Sophie's Choice (1982)
5513,"Sixth Sense, The (1999)",Gladiator (2000),Forrest Gump (1994),Rules of Engagement (2000),"Bone Collector, The (1999)",Titanic (1997),Dogma (1999),"Dark Crystal, The (1982)","World Is Not Enough, The (1999)","Aristocats, The (1970)"
5514,Saving Private Ryan (1998),Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)","Godfather, The (1972)",Braveheart (1995),"Matrix, The (1999)",Glory (1989),"Usual Suspects, The (1995)","Princess Bride, The (1987)",Star Wars: Episode V - The Empire Strikes Back (1980)
5515,"Shawshank Redemption, The (1994)",Schindler's List (1993),Enchanted April (1991),"Green Mile, The (1999)",Saving Private Ryan (1998),October Sky (1999),Little Big Man (1970),"Castle, The (1997)","Christmas Story, A (1983)",Braveheart (1995)
5516,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Bicycle Thief, The (Ladri di biciclette) (1948)",City Lights (1931),Lawrence of Arabia (1962),Casablanca (1942),Double Indemnity (1944),"Streetcar Named Desire, A (1951)","Seventh Seal, The (Sjunde inseglet, Det) (1957)",Rear Window (1954)
5517,"Matrix, The (1999)",Raiders of the Lost Ark (1981),"Princess Bride, The (1987)",Die Hard (1988),Gladiator (2000),Forrest Gump (1994),Indiana Jones and the Last Crusade (1989),Star Wars: Episode V - The Empire Strikes Back (1980),Aliens (1986),Jagged Edge (1985)
5518,"Godfather, The (1972)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),It's a Wonderful Life (1946),"Matrix, The (1999)",Glory (1989),Blade Runner (1982),"Princess Bride, The (1987)",Casablanca (1942),Patton (1970)
5519,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Sixth Sense, The (1999)",Saving Private Ryan (1998),Cinema Paradiso (1988),"Silence of the Lambs, The (1991)","Matrix, The (1999)","Green Mile, The (1999)",Raiders of the Lost Ark (1981),"Fugitive, The (1993)"
5520,Schindler's List (1993),"Silence of the Lambs, The (1991)","Sixth Sense, The (1999)",American Beauty (1999),"Usual Suspects, The (1995)","Princess Bride, The (1987)","War Room, The (1993)",Fargo (1996),Toy Story (1995),Good Will Hunting (1997)
5521,Casablanca (1942),"Godfather, The (1972)",Rear Window (1954),Schindler's List (1993),Citizen Kane (1941),Blade Runner (1982),One Flew Over the Cuckoo's Nest (1975),Chinatown (1974),Fargo (1996),American Beauty (1999)
5522,Roman Holiday (1953),It's a Wonderful Life (1946),"Silence of the Lambs, The (1991)",Rear Window (1954),Braveheart (1995),"Matrix, The (1999)",Apollo 13 (1995),"Fugitive, The (1993)",Glory (1989),Raiders of the Lost Ark (1981)
5523,Rear Window (1954),Roman Holiday (1953),"Sting, The (1973)",To Catch a Thief (1955),Butch Cassidy and the Sundance Kid (1969),North by Northwest (1959),My Fair Lady (1964),"Godfather, The (1972)","Wizard of Oz, The (1939)",Life Is Beautiful (La Vita è bella) (1997)
5524,"Sixth Sense, The (1999)",Apollo 13 (1995),October Sky (1999),Fried Green Tomatoes (1991),Toy Story 2 (1999),"Little Mermaid, The (1989)",Beauty and the Beast (1991),Forrest Gump (1994),Toy Story (1995),Tarzan (1999)
5525,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Godfather, The (1972)",Citizen Kane (1941),Casablanca (1942),Rear Window (1954),Double Indemnity (1944),"Third Man, The (1949)",Chinatown (1974),Schindler's List (1993),Paths of Glory (1957)
5526,"Sixth Sense, The (1999)",Life Is Beautiful (La Vita è bella) (1997),"Hunt for Red October, The (1990)","Bronx Tale, A (1993)","Few Good Men, A (1992)",Seven (Se7en) (1995),E.T. the Extra-Terrestrial (1982),Rain Man (1988),Terminator 2: Judgment Day (1991),"Time to Kill, A (1996)"
5527,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Lawrence of Arabia (1962),"Bicycle Thief, The (Ladri di biciclette) (1948)",Schindler's List (1993),Casablanca (1942),Blade Runner (1982),"Godfather, The (1972)",Citizen Kane (1941),One Flew Over the Cuckoo's Nest (1975),Chinatown (1974)
5528,Casablanca (1942),"Christmas Story, A (1983)",Braveheart (1995),Keeping the Faith (2000),Wonder Boys (2000),Six Degrees of Separation (1993),Gladiator (2000),East is East (1999),Father of the Bride (1950),Return to Me (2000)
5529,Citizen Kane (1941),"Godfather, The (1972)",Casablanca (1942),Rear Window (1954),"Streetcar Named Desire, A (1951)",Fargo (1996),Touch of Evil (1958),American Beauty (1999),"Shawshank Redemption, The (1994)",Being John Malkovich (1999)
5530,Saving Private Ryan (1998),Braveheart (1995),"Matrix, The (1999)","Fugitive, The (1993)",Glory (1989),Raiders of the Lost Ark (1981),Star Wars: Episode IV - A New Hope (1977),"Hunt for Red October, The (1990)",Butch Cassidy and the Sundance Kid (1969),"Untouchables, The (1987)"
5531,"Shawshank Redemption, The (1994)","Sixth Sense, The (1999)",Saving Private Ryan (1998),Gladiator (2000),"Few Good Men, A (1992)",Forrest Gump (1994),Fried Green Tomatoes (1991),"Time to Kill, A (1996)",Love Jones (1997),Sleepless in Seattle (1993)
5532,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Saving Private Ryan (1998),Raiders of the Lost Ark (1981),Butch Cassidy and the Sundance Kid (1969),Star Wars: Episode IV - A New Hope (1977),My Left Foot (1989),E.T. the Extra-Terrestrial (1982),"Godfather, The (1972)","African Queen, The (1951)",Picnic at Hanging Rock (1975)
5533,"Sixth Sense, The (1999)","Great Escape, The (1963)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),"Princess Bride, The (1987)",Indiana Jones and the Last Crusade (1989),"Wizard of Oz, The (1939)",Gladiator (2000),Casablanca (1942),Star Wars: Episode V - The Empire Strikes Back (1980)
5534,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Citizen Kane (1941),Schindler's List (1993),"Close Shave, A (1995)","Wrong Trousers, The (1993)","Shawshank Redemption, The (1994)",One Flew Over the Cuckoo's Nest (1975),"Seventh Seal, The (Sjunde inseglet, Det) (1957)"
5535,"Shawshank Redemption, The (1994)",Schindler's List (1993),"Godfather, The (1972)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Saving Private Ryan (1998),"Silence of the Lambs, The (1991)",One Flew Over the Cuckoo's Nest (1975),"Usual Suspects, The (1995)",Star Wars: Episode IV - A New Hope (1977),American Beauty (1999)
5536,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),"Streetcar Named Desire, A (1951)","Third Man, The (1949)",Rear Window (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),Lawrence of Arabia (1962),"World of Apu, The (Apur Sansar) (1959)",Schindler's List (1993),Chinatown (1974)
5537,Saving Private Ryan (1998),"Sixth Sense, The (1999)",Rear Window (1954),It's a Wonderful Life (1946),Double Indemnity (1944),"Thin Man, The (1934)","Christmas Story, A (1983)","Big Sleep, The (1946)","Princess Bride, The (1987)",North by Northwest (1959)
5538,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Godfather, The (1972)",Citizen Kane (1941),Casablanca (1942),City Lights (1931),Rear Window (1954),Double Indemnity (1944),Lawrence of Arabia (1962),"Third Man, The (1949)","Seventh Seal, The (Sjunde inseglet, Det) (1957)"
5539,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Saving Private Ryan (1998),Lawrence of Arabia (1962),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Casablanca (1942),Star Wars: Episode IV - A New Hope (1977),"Great Escape, The (1963)",Raiders of the Lost Ark (1981),Blade Runner (1982),"Princess Bride, The (1987)"
5540,"Shawshank Redemption, The (1994)",Schindler's List (1993),Saving Private Ryan (1998),"Godfather, The (1972)",Star Wars: Episode IV - A New Hope (1977),Raiders of the Lost Ark (1981),Glory (1989),Dersu Uzala (1974),Blade Runner (1982),One Flew Over the Cuckoo's Nest (1975)
5541,City Lights (1931),"Bicycle Thief, The (Ladri di biciclette) (1948)","Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",Double Indemnity (1944),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),To Kill a Mockingbird (1962),"Philadelphia Story, The (1940)",Seven Days in May (1964),Lawrence of Arabia (1962),Casablanca (1942)
5542,"Shawshank Redemption, The (1994)",Saving Private Ryan (1998),"Close Shave, A (1995)","Wrong Trousers, The (1993)",Star Wars: Episode IV - A New Hope (1977),"Sixth Sense, The (1999)",Raiders of the Lost Ark (1981),One Flew Over the Cuckoo's Nest (1975),American Beauty (1999),Blade Runner (1982)
5543,"Godfather, The (1972)",American Beauty (1999),Being John Malkovich (1999),"Usual Suspects, The (1995)",Run Lola Run (Lola rennt) (1998),Elizabeth (1998),"Sixth Sense, The (1999)","Insider, The (1999)",Shakespeare in Love (1998),Burnt By the Sun (Utomlyonnye solntsem) (1994)
5544,Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Rear Window (1954),Casablanca (1942),Roman Holiday (1953),"Third Man, The (1949)","Close Shave, A (1995)",To Kill a Mockingbird (1962),"Wrong Trousers, The (1993)","Thin Man, The (1934)"
5545,To Kill a Mockingbird (1962),Young Frankenstein (1974),North by Northwest (1959),Alien (1979),"Exorcist, The (1973)",Invasion of the Body Snatchers (1956),"Birds, The (1963)",Evil Dead II (Dead By Dawn) (1987),Army of Darkness (1993),Peeping Tom (1960)
